"Name","Rows","Bombs","Seconds","Date"
"Chris","3","1","2.5","10/25/2020 11:20:02 AM"
"Carlos","3","2","4.8","10/27/2020 10:28:17 PM"
"Chris","4","1","5.1","12/24/2020 9:04:10 PM"
"Chris","4","4","12.3","10/27/2020 10:33:45 PM"
"Chris","5","1","7.8","10/30/2020 1:52:31 AM"
"Chris","5","3","29.1","10/30/2020 1:56:31 AM"
"Chris","5","4","18.6","10/30/2020 1:52:14 AM"
"Chris","6","1","10.3","1/10/2021 2:01:17 PM"
"Chris","6","2","12","12/18/2020 8:44:23 PM"
"Chris","6","3","15.8","10/30/2020 2:37:08 AM"
"Chris","6","4","17.9","10/30/2020 2:08:27 AM"
"Chris","6","5","4.7","12/18/2020 8:44:29 PM"
"Chris","6","6","27.4","10/30/2020 2:18:30 AM"
"Chris","6","7","90.6","10/30/2020 2:16:27 AM"
"Chris","6","8","36.2","10/30/2020 2:33:28 AM"
"Chris","6","9","114","10/30/2020 2:23:28 AM"
"Chris","6","10","89","12/24/2020 9:16:54 PM"
"Chris","15","19","178.5","10/27/2020 10:32:05 PM"
