"Name","Rows","Bombs","Seconds","Date"
"Chris","3","1","1.2","1/31/2021 5:23:00 PM"
"Chris","3","2","1.2","6/14/2021 2:27:26 PM"
"Chris","3","3","11.7","3/26/2021 10:31:20 PM"
"Player1","3","4","3.2","2/13/2021 3:57:00 PM"
"Chris","4","1","5.1","12/24/2020 9:04:00 PM"
"Chris","4","4","12.3","10/27/2020 10:33:00 PM"
"Chris","5","1","7.8","10/30/2020 1:52:00 AM"
"Chris","5","3","29.1","10/30/2020 1:56:00 AM"
"Chris","5","4","18.6","10/30/2020 1:52:00 AM"
"Savina and Chris","5","7","81.8","3/25/2021 11:32:00 PM"
"Chris","6","1","10.3","1/10/2021 2:01:00 PM"
"Chris","6","2","12","12/18/2020 8:44:00 PM"
"Chris","6","3","15.8","10/30/2020 2:37:00 AM"
"Chris","6","4","17.9","10/30/2020 2:08:00 AM"
"Chris","6","5","4.7","12/18/2020 8:44:00 PM"
"Chris","6","6","20","4/10/2021 6:32:30 PM"
"Chris","6","7","34.3","3/26/2021 10:10:00 PM"
"Chris","6","8","36.2","10/30/2020 2:33:00 AM"
"Player1","6","9","51.6","3/21/2021 7:54:00 PM"
"Chris","6","10","51.2","3/26/2021 9:57:00 PM"
"Player1","6","11","53","3/21/2021 9:59:00 AM"
"Chris","7","7","36.6","3/26/2021 10:16:46 PM"
"Chris","7","8","46.5","3/26/2021 10:15:44 PM"
"Chris","7","13","434.3","4/25/2021 5:18:42 PM"
"Chris","7","15","275","4/25/2021 5:04:46 PM"
"Chris","15","19","178.5","10/27/2020 10:32:00 PM"
"Chris","15","47","575.9","3/26/2021 10:29:50 PM"
